Request Index;Engine mount deformation;Seat deformation;Rear deformation;Front deformation;Rear tire deformation;Front tire deformation;Engine mount deformation velocity;Seat deformation velocity;Rear deformation velocity;Front deformation velocity;Rear tire deformation velocity;Front tire deformation velocity;Engine mount deformation acceleration;Seat deformation acceleration;Rear deformation acceleration;Front deformation acceleration;Rear tire deformation acceleration;Front tire deformation acceleration
0;-0.009813256;0.013804051;-0.203302866;-0.267489638;-0.072247129;-0.09371139;0.861000674;0.901020477;-6.876222935;-10.12639531;3.182521578;3.889302937;-86.80408969;69.33202344;428.8152391;650.252806;299.8072197;-508.106456
1;0.004087769;0.014292894;-0.203114904;-0.267589216;-0.072208195;-0.093612929;0.484159131;0.936147692;-6.907556177;-10.12104858;3.185514629;3.889301805;-80.56776745;69.25412124;422.6367267;650.2867118;304.524272;-508.0918423
2;-0.001977584;0.014239145;-0.203299626;-0.267605654;-0.072159613;-0.093611736;-0.186176664;0.959143942;-6.896608796;-10.124992;3.193561547;3.889300666;30.60645222;70.94199742;425.5769172;650.3213995;304.919392;-508.0768875
3;-0.002335358;0.014148524;-0.203201702;-0.267619734;-0.072151916;-0.093636731;-0.52613102;0.956876676;-6.953906454;-10.12769579;3.199270114;3.889299666;-135.7888018;72.91605678;416.9885272;650.3522761;307.5136822;-508.0635724
4;-0.001581766;0.014153983;-0.203440659;-0.267644662;-0.072157092;-0.093644525;0.205437958;0.948973853;-6.878426217;-10.12625607;3.178794611;3.889298862;-55.27474713;74.10515119;434.1569879;650.3773907;301.0648589;-508.0527398
5;-0.001435543;0.014155634;-0.203416472;-0.267645843;-0.07214787;-0.093644687;-0.176197086;0.948419109;-6.879037167;-10.12605616;3.179462323;3.889298798;-50.76539209;74.17036189;431.8241297;650.3794141;300.9712106;-508.051867
6;-0.001235284;0.014166166;-0.203389048;-0.267649228;-0.072144059;-0.093644862;0.088304909;0.945078082;-6.903264906;-10.12437784;3.188851138;3.889298243;-22.72312391;74.50993455;428.9248787;650.3969243;302.6556466;-508.0443131
7;-0.001345342;0.014166226;-0.203382896;-0.267647384;-0.072141046;-0.093644751;0.064005729;0.944453637;-6.896979422;-10.12365816;3.190436336;3.889297884;-16.34057181;74.51489605;427.6005758;650.4083261;303.4528893;-508.0393939
8;-0.001331723;0.014165336;-0.203378827;-0.267646811;-0.072140019;-0.093644776;-0.058979734;0.94447135;-6.897245643;-10.12354325;3.190391226;3.889297788;14.83116421;74.48961427;426.6225317;650.4113812;303.4544081;-508.0380757
9;-0.001370405;0.014160353;-0.203385553;-0.267645435;-0.07214116;-0.093645093;0.043163575;0.944966702;-6.902381336;-10.1233994;3.190622854;3.889297455;9.892433799;74.32775079;427.5471023;650.4220353;303.2520739;-508.0334787
10;-0.00140719;0.014158221;-0.203386783;-0.267645266;-0.072141481;-0.093645282;0.042725953;0.94524784;-6.902349187;-10.12343082;3.190976268;3.889297335;-7.833408154;74.2470408;427.6890809;650.4258626;303.2480689;-508.0318272
11;-0.001433512;0.014155964;-0.203385695;-0.267645256;-0.072141385;-0.093645513;0.040533773;0.945567165;-6.90149852;-10.12349818;3.191392656;3.889297208;-7.873996945;74.15194568;426.9902294;650.4299441;303.312346;-508.030066
12;-0.001452758;0.014152961;-0.203385968;-0.267645446;-0.072141388;-0.093645874;0.037152507;0.946008248;-6.901499742;-10.12363042;3.191858512;3.889297026;-5.605949588;74.00592068;426.4007197;650.4358022;303.4582397;-508.027538
13;-0.00145508;0.014152656;-0.203386256;-0.267645475;-0.072141426;-0.093645915;0.037908819;0.946052935;-6.90163412;-10.12364605;3.19189554;3.889297006;-5.55028177;73.98957238;426.4491671;650.4364471;303.4727816;-508.0272597
14;-0.001473042;0.01415099;-0.203388087;-0.267645646;-0.072141717;-0.093646151;0.038201076;0.946288435;-6.902535873;-10.12373514;3.192067199;3.88929689;-4.646866141;73.89552745;426.9274845;650.4401838;303.5354141;-508.0256471
15;-0.001489497;0.01414989;-0.203388918;-0.267645761;-0.072141913;-0.09364632;0.038279037;0.946430187;-6.902928118;-10.1237947;3.192169024;3.889296806;-4.870052342;73.82919322;427.0711293;650.4429035;303.5551165;-508.0244734
16;-0.001492987;0.014149669;-0.203389019;-0.267645783;-0.072141946;-0.093646355;0.039029863;0.946456516;-6.902959155;-10.12380633;3.192190495;3.889296788;-4.591156248;73.81559463;427.0499584;650.4434768;303.5569015;-508.024226
17;-0.001507375;0.014148733;-0.203389333;-0.26764587;-0.072142073;-0.093646508;0.041203233;0.946557403;-6.902932885;-10.12385288;3.192291395;3.88929671;-3.726636396;73.75769282;426.7961301;650.4460092;303.559007;-508.0231331
18;-0.001512264;0.014148392;-0.203389466;-0.267645898;-0.072142118;-0.093646565;0.041386414;0.946589083;-6.902893164;-10.12386826;3.19233303;3.88929668;-4.107375484;73.73681391;426.681936;650.4469705;303.5588834;-508.0227182
19;-0.00151694;0.014148053;-0.203389642;-0.267645924;-0.072142164;-0.093646623;0.041282692;0.946617562;-6.902864844;-10.12388248;3.192377068;3.88929665;-4.204127564;73.71635821;426.5934548;650.4479461;303.5592109;-508.0222972
20;-0.001523737;0.014147548;-0.203389997;-0.26764596;-0.072142241;-0.09364671;0.040920185;0.946654031;-6.90287816;-10.12390138;3.19244652;3.889296604;-3.760711384;73.68681436;426.5520336;650.4494308;303.5618061;-508.0216564
