Time;Car linear displacement;Car angular displacement;Engine linear displacement;Driver linear displacement;Rear linear displacement;Front linear displacement;Car linear velocity;Car angular velocity;Engine linear velocity;Driver linear velocity;Rear linear velocity;Front linear velocity;Car linear acceleration;Car angular acceleration;Engine linear acceleration;Driver linear acceleration;Rear linear acceleration;Front linear acceleration;Car equivalente force;Car equivalente torque;Engine equivalente force;Driver equivalente force;Rear equivalente force;Front equivalente force
0.01;-0.000242259;-4.05E-06;-0.000241875;-0.000244736;-0.000186685;-0.000188465;-0.048451841;-0.000810766;-0.048374918;-0.048947159;-0.037336947;-0.037692933;-9.690368164;-0.16215329;-9.674983666;-9.789431738;-7.467389369;-7.538586536;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-49.03325
0.02;-0.001657198;-0.001132509;-0.001283917;-0.001311391;-0.000719388;-0.018595262;-0.234536008;-0.224880325;-0.160033487;-0.164383891;-0.069203747;-3.643666627;-27.52646532;-44.65170099;-12.65673009;-13.29791474;1.094029384;-713.6561522;-1029.69825;-8.237586;-48.32114023;-392.266;-49.03325;-7549.03325
0.03;-0.006039678;-0.00743668;-0.003802823;-0.004049804;-0.001071186;-0.079748069;-0.641959805;-1.03596897;-0.343747734;-0.383298792;-0.001155738;-8.58689473;-53.958294;-117.5570482;-24.08611925;-30.48506554;12.51557238;-274.9894685;-1029.69825;-8.237586;-48.32114023;-392.266;-49.03325;-15049.03325
0.04;-0.015227558;-0.024218396;-0.008325123;-0.010269211;-0.000365089;-0.166670055;-1.195616255;-2.3206237;-0.560712286;-0.860582531;0.142374978;-8.797502366;-56.77299602;-139.199439;-19.30679125;-64.97168219;16.19057074;232.8679414;-1029.69825;-8.237586;-229.9044689;-392.266;-49.03325;-22549.03325
0.05;-0.029530084;-0.053655619;-0.014324211;-0.022923825;0.001708643;-0.239611529;-1.664888901;-3.567961255;-0.639105431;-1.670340161;0.272371479;-5.790792498;-37.08153325;-109.1790537;3.628162404;-96.97984383;9.808729458;368.4740322;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-28039.41431
0.06;-0.047484323;-0.093562146;-0.020815866;-0.044407137;0.004694897;-0.280701863;-1.925959025;-4.415651056;-0.659225556;-2.626322323;0.324879278;-2.427274321;-15.13249153;-57.11501093;-7.652187514;-94.21658846;0.692830427;304.2296032;-1029.69825;-8.237586;-5.455131077;-392.266;-49.03325;-30049.03325
0.07;-0.06733491;-0.139091755;-0.02785326;-0.074130185;0.007683711;-0.290339876;-2.044158384;-4.692580815;-0.748253244;-3.318287348;0.272883532;0.499671674;-8.507380171;7.111903924;-10.1533501;-44.1764165;-11.0919797;281.1595959;-1029.69825;-8.237586;-187.0384598;-392.266;-49.03325;-28039.41431
0.08;-0.088062136;-0.18404118;-0.035919904;-0.107669272;0.009505166;-0.271421885;-2.101286742;-4.297370298;-0.865075434;-3.389530003;0.091407591;3.283926606;-2.91829156;76.00598937;-13.21108794;29.92788544;-25.20320849;275.6913903;-1029.69825;-8.237586;-187.0384598;-392.266;-49.03325;-22549.03325
0.09;-0.108774807;-0.221574686;-0.045908271;-0.138610633;0.009018768;-0.227414199;-2.041247557;-3.205999969;-1.132597965;-2.798742255;-0.188687345;5.517610631;14.92612872;138.6489246;-40.29341808;88.22966415;-30.81577864;171.0454148;-1029.69825;-8.237586;-5.455131077;-392.266;-49.03325;-15049.03325
0.1;-0.127987932;-0.245136422;-0.058758121;-0.161765071;0.005699802;-0.168644751;-1.801377358;-1.501793038;-1.437372071;-1.832145353;-0.47510567;6.23627896;33.04791097;186.2810528;-20.66140327;105.0897163;-26.46788629;-27.31174903;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-7549.03325
