Time;Engine mount deformation;Seat deformation;Rear deformation;Front deformation;Rear tire deformation;Front tire deformation;Engine mount deformation velocity;Seat deformation velocity;Rear deformation velocity;Front deformation velocity;Rear tire deformation velocity;Front tire deformation velocity;Engine mount deformation acceleration;Seat deformation acceleration;Rear deformation acceleration;Front deformation acceleration;Rear tire deformation acceleration;Front tire deformation acceleration;;;;;;
0.01;7.71E-07;2.15E-06;-5.30E-05;-5.70E-05;-0.000186685;0.019907725;0.000154146;0.000430457;-0.010596003;-0.011407521;-0.037336947;3.889297884;0.03082919;0.086091311;-2.119200689;-2.281504261;-7.467389369;348.6000858;0;0;0;0;0;0
0.02;-5.05E-05;-0.000436408;-0.000213005;0.016032057;-0.000719388;0.056404738;-0.010411628;-0.088142543;-0.021408853;3.229226358;-0.069203747;3.158080989;-2.144000451;-17.80068666;-0.043406073;650.4083261;1.094029384;-508.0393939;0;0;0;0;0;0
0.03;-0.000117401;-0.002584807;-0.000209017;0.067759048;-0.001071186;0.070251931;-0.002960914;-0.34153853;0.022216074;7.116159749;-0.001155738;-0.732913096;3.631583981;-32.87779232;8.762644456;126.9855359;12.51557238;-274.9894685;0;0;0;0;0;0
0.04;-1.92E-07;-0.006895818;0.000637305;0.13206778;-0.000365089;0.058329945;0.026473786;-0.52068362;0.147207936;5.74538715;0.142374978;-1.99575475;2.205635331;-2.93726895;16.12407417;-401.0004886;16.19057074;27.25118305;0;0;0;0;0;0
0.05;8.60E-05;-0.010898709;0.003100869;0.167156951;0.001708643;0.040292282;-0.008914513;-0.279985641;0.346234823;1.271534593;0.272371479;-1.863801681;-9.593665365;51.16398629;22.98433163;-492.8988083;9.808729458;12.3353598;0;0;0;0;0;0
0.06;-3.25E-06;-0.010562158;0.007700554;0.158367823;0.004694897;0.019298137;-0.008272918;0.347111213;0.575178373;-3.031205549;0.324879278;-2.427274321;8.797474097;74.51489605;20.72828503;-365.0541034;0.692830427;-107.0039136;0;0;0;0;0;0
0.07;0.0001595;-0.004332065;0.014000102;0.111731562;0.007683711;-0.010436066;0.041480393;0.898722498;0.686209806;-6.29789471;0.272883532;-3.427319143;-0.380922687;36.23798864;-1.967018978;-283.977453;-11.0919797;-74.97907644;0;0;0;0;0;0
0.08;0.000309504;0.004883842;0.020219053;0.036126805;0.009505166;-0.046421885;-0.011460773;0.944453637;0.557622658;-8.823109586;0.091407591;-3.51782101;-11.36891059;-26.76569785;-26.35891627;-217.8048904;-25.20320849;70.07463199;0;0;0;0;0;0
0.09;0.000282249;0.012109851;0.024014224;-0.058620357;0.009018768;-0.077414199;0.005060399;0.501014701;0.199279768;-10.12365816;-0.188687345;-2.336371003;15.70460329;-62.21162146;-42.99340438;-45.20014639;-30.81577864;171.0454148;0;0;0;0;0;0
0.1;0.000634069;0.014166226;0.023199575;-0.155452319;0.005699802;-0.093644751;0.064005729;-0.089375449;-0.365124144;-9.239090748;-0.47510567;-0.565468656;0.619214206;-57.13932109;-59.70407651;209.3845022;-26.46788629;178.3050093;0;0;0;0;0;0
