data__time;data__result__001;data__result__002;data__result__003;data__result__004;data__result__005;data__result__006
0,314159265;0,017146751;0,010264628;0,034333279;1,06E-18;0,017146751;-0,010264628
0,628318531;0,01804423;0,010824808;0,036089121;1,19E-18;0,01804423;-0,010824808
0,942477796;0,017185997;0,010289863;0,034411588;9,25E-19;0,017185997;-0,010289863
1,256637061;0,018006562;0,010800641;0,036014074;8,45E-19;0,018006562;-0,010800641
1,570796327;0,017222147;0,010313005;0,034483505;7,93E-19;0,017222147;-0,010313005
1,884955592;0,017971872;0,010778481;0,035945162;9,06E-19;0,017971872;-0,010778481
2,199114858;0,017255433;0,010334224;0,034549534;7,61E-19;0,017255433;-0,010334224
2,513274123;0,017939937;0,010758164;0,035881899;9,27E-19;0,017939937;-0,010758164
2,827433388;0,017286068;0,010353675;0,034610141;8,64E-19;0,017286068;-0,010353675
3,141592654;0,017910552;0,010739542;0,03582384;9,39E-19;0,017910552;-0,010739542
3,455751919;0,017314253;0,010371503;0,034665756;9,15E-19;0,017314253;-0,010371503
3,769911184;0,017883523;0,010722477;0,035770571;9,52E-19;0,017883523;-0,010722477
4,08407045;0,017340171;0,010387837;0,034716774;9,49E-19;0,017340171;-0,010387837
4,398229715;0,017858672;0,010706843;0,035721713;1,02E-18;0,017858672;-0,010706843
4,71238898;0,017363995;0,0104028;0,034763559;9,28E-19;0,017363995;-0,0104028
5,026548246;0,017835835;0,010692524;0,035676916;9,05E-19;0,017835835;-0,010692524
5,340707511;0,017385884;0,010416502;0,034806449;9,04E-19;0,017385884;-0,010416502
5,654866776;0,017814857;0,010679413;0,035635855;9,31E-19;0,017814857;-0,010679413
5,969026042;0,017405986;0,010429046;0,034845755;9,03E-19;0,017405986;-0,010429046
6,283185307;0,017795597;0,010667413;0,035598234;9,90E-19;0,017795597;-0,010667413
6,597344573;0,017424438;0,010440526;0,034881761;9,61E-19;0,017424438;-0,010440526
6,911503838;0,017777922;0,010656432;0,035563776;9,44E-19;0,017777922;-0,010656432
7,225663103;0,017441366;0,010451028;0,034914733;9,73E-19;0,017441366;-0,010451028
7,539822369;0,01776171;0,010646388;0,03553223;9,72E-19;0,01776171;-0,010646388
7,853981634;0,01745689;0,010460633;0,034944912;9,76E-19;0,01745689;-0,010460633
8,168140899;0,017746847;0,010637204;0,035503361;9,92E-19;0,017746847;-0,010637204
8,482300165;0,017471118;0,010469413;0,034972525;9,57E-19;0,017471118;-0,010469413
8,79645943;0,017733229;0,01062881;0,035476954;9,73E-19;0,017733229;-0,01062881
9,110618695;0,01748415;0,010477436;0,034997776;9,88E-19;0,01748415;-0,010477436
9,424777961;0,017720758;0,010621142;0,03545281;9,99E-19;0,017720758;-0,010621142
9,738937226;0,017496082;0,010484764;0,035020858;1,00E-18;0,017496082;-0,010484764
10,05309649;0,017709345;0,01061414;0,035430747;9,93E-19;0,017709345;-0,01061414
10,36725576;0,017506998;0,010491454;0,035041944;1,00E-18;0,017506998;-0,010491454
10,68141502;0,017698906;0,010607749;0,035410596;9,97E-19;0,017698906;-0,010607749
10,99557429;0,017516979;0,010497558;0,035061198;9,98E-19;0,017516979;-0,010497558
11,30973355;0,017689364;0,01060192;0,035392202;1,01E-18;0,017689364;-0,01060192
11,62389282;0,0175261;0,010503125;0,035078769;9,92E-19;0,0175261;-0,010503125
11,93805208;0,017680647;0,010596605;0,035375421;9,85E-19;0,017680647;-0,010596605
12,25221135;0,017534429;0,010508198;0,035094793;9,70E-19;0,017534429;-0,010508198
12,56637061;0,01767269;0,010591762;0,035360122;9,75E-19;0,01767269;-0,010591762
12,88052988;0,017542029;0,01051282;0,035109397;9,72E-19;0,017542029;-0,01051282
13,19468915;0,017665433;0,010587353;0,035346183;9,74E-19;0,017665433;-0,010587353
13,50884841;0,017548958;0,010517026;0,035122698;9,76E-19;0,017548958;-0,010517026
13,82300768;0,017658818;0,010583341;0,035333493;9,75E-19;0,017658818;-0,010583341
14,13716694;0,017555272;0,010520853;0,035134804;9,78E-19;0,017555272;-0,010520853
14,45132621;0,017652793;0,010579692;0,035321948;9,80E-19;0,017652793;-0,010579692
14,76548547;0,017561019;0,010524331;0,035145813;9,83E-19;0,017561019;-0,010524331
15,07964474;0,017647312;0,010576378;0,035311453;9,79E-19;0,017647312;-0,010576378
15,393804;0,017566246;0,010527489;0,035155815;9,81E-19;0,017566246;-0,010527489
15,70796327;0,017642329;0,010573368;0,035301921;9,78E-19;0,017642329;-0,010573368
16,02212253;0,017570995;0,010530355;0,035164896;9,78E-19;0,017570995;-0,010530355
16,3362818;0,017637803;0,010570639;0,035293272;9,79E-19;0,017637803;-0,010570639
16,65044106;0,017575307;0,010532954;0,035173132;9,82E-19;0,017575307;-0,010532954
16,96460033;0,017633697;0,010568166;0,035285431;9,81E-19;0,017633697;-0,010568166
17,27875959;0,017579216;0,010535307;0,035180594;9,82E-19;0,017579216;-0,010535307
17,59291886;0,017629976;0,010565927;0,035278331;9,80E-19;0,017629976;-0,010565927
17,90707813;0,017582757;0,010537436;0,035187348;9,85E-19;0,017582757;-0,010537436
18,22123739;0,017626608;0,010563903;0,035271909;9,74E-19;0,017626608;-0,010563903
18,53539666;0,01758596;0,01053936;0,035193453;9,83E-19;0,01758596;-0,01053936
18,84955592;0,017623563;0,010562075;0,035266107;9,80E-19;0,017623563;-0,010562075
19,16371519;0,017588853;0,010541097;0,035198965;9,84E-19;0,017588853;-0,010541097
19,47787445;0,017620814;0,010560426;0,035260872;9,80E-19;0,017620814;-0,010560426
19,79203372;0,017591464;0,010542662;0,035203935;9,93E-19;0,017591464;-0,010542662
20,10619298;0,017618336;0,010558941;0,035256156;9,89E-19;0,017618336;-0,010558941
20,42035225;0,017593815;0,010544071;0,035208409;9,93E-19;0,017593815;-0,010544071
20,73451151;0,017616106;0,010557605;0,035251913;9,91E-19;0,017616106;-0,010557605
21,04867078;0,017595929;0,010545336;0,035212431;9,93E-19;0,017595929;-0,010545336
21,36283004;0,017614103;0,010556406;0,035248103;9,91E-19;0,017614103;-0,010556406
